Id,Full_School_Name,School,Full_Conference,Conference_id,Adj. RPI,Division,Type,City,State,State_id
1,University of Virginia,Virginia,Southeast,5,1,1,Mens,Charlottesville,Virginia,51
2,Georgetown University,Georgetown,,0,2,1,Mens,Washington,District of Columbia,11
3,University of Central Florida,UCF,Southeast,5,3,1,Mens,Orlando,Florida,12
4,Southern Methodist University,SMU,Southwest ,6,4,1,Mens,University Park,Texas,48
5,Clemson University,Clemson,Southeast,5,5,1,Mens,Clemson,South Carolina,45
6,Wake Forest University,Wake Forest,Southeast,5,6,1,Mens,Winston-Salem,North Carolina,37
7,University of Washington,Washington,Far West ,8,7,1,Mens,Seattle,Washington,53
8,,St. John's (NY),,0,8,1,Mens,,,0
9,Virginia Tech[A 53],Virginia Tech,Southeast,5,9,1,Mens,Blacksburg,Virginia,51
10,,Missouri St.,,0,10,1,Mens,,,0
11,,Saint Mary's (CA),,0,11,1,Mens,,,0
12,Marshall University,Marshall,Southeast,5,12,1,Mens,Huntington,West Virginia,54
13,University of New Hampshire,New Hampshire,New England ,1,13,1,Mens,Durham,New Hampshire,33
14,,Penn St.,,0,14,1,Mens,,,0
15,Indiana University,Indiana,Great Lakes ,3,15,1,Mens,Bloomington,Indiana,18
16,Stanford University,Stanford,Far West ,8,16,1,Mens,Palo Alto,California,6
17,"University of California, Davis",UC Davis,Far West ,8,17,1,Mens,Davis,California,6
18,Providence College,Providence,New England ,1,18,1,Mens,Providence,Rhode Island,44
19,University of Notre Dame,Notre Dame,Great Lakes ,3,19,1,Mens,South Bend,Indiana,18
20,University of Kentucky,Kentucky,Southeast,5,20,1,Mens,Lexington,Kentucky,21
21,University of North Carolina at Charlotte,Charlotte,Southeast,5,21,1,Mens,Charlotte,North Carolina,37
22,"University of Maryland, College Park",Maryland,Mid East ,2,22,1,Mens,College Park,Maryland,24
23,,LMU (CA),,0,23,1,Mens,,,0
24,"University of California, Santa Barbara",UC Santa Barbara,Far West ,8,24,1,Mens,Santa Barbara,California,6
25,University of Michigan,Michigan,Great Lakes ,3,25,1,Mens,Ann Arbor,Michigan,26
26,University of Louisville,Louisville,Southeast,5,26,1,Mens,Louisville,Kentucky,21
27,Butler University,Butler,Great Lakes ,3,27,1,Mens,Indianapolis,Indiana,18
28,,Central Ark.,,0,28,1,Mens,,,0
29,Boston College,Boston College,New England ,1,29,1,Mens,Chestnut Hill,Massachusetts,25
30,Syracuse University,Syracuse,Mid East ,2,30,1,Mens,Syracuse,New York,36
31,,Loyola Chicago,,0,31,1,Mens,,,0
32,,South Fla.,,0,32,1,Mens,,,0
33,Campbell University,Campbell,Southeast,5,33,1,Mens,Buies Creek,North Carolina,37
34,James Madison University,James Madison,Southeast,5,34,1,Mens,Harrisonburg,Virginia,51
35,,Seattle U,,0,35,1,Mens,,,0
36,North Carolina State University,NC State,Southeast,5,36,1,Mens,Raleigh,North Carolina,37
37,,Cal St. Fullerton,,0,37,1,Mens,,,0
38,University of San Diego,San Diego,Far West ,8,38,1,Mens,San Diego,California,6
39,Florida International University,FIU,Southeast,5,39,1,Mens,Miami,Florida,12
40,,Western Mich.,,0,40,1,Mens,,,0
41,University of Memphis,Memphis,Southeast,5,41,1,Mens,Memphis,Tennessee,47
42,,Pittsburgh,,0,42,1,Mens,,,0
43,Temple University,Temple,Mid East ,2,43,1,Mens,Philadelphia,Pennsylvania,42
44,"University of California, Irvine",UC Irvine,Far West ,8,44,1,Mens,Irvine,California,6
45,Yale University,Yale,New England ,1,45,1,Mens,New Haven,Connecticut,9
46,Iona College,Iona,Mid East ,2,46,1,Mens,New Rochelle,New York,36
47,High Point University,High Point,Southeast,5,47,1,Mens,High Point,North Carolina,37
48,Lehigh University,Lehigh,Mid East ,2,48,1,Mens,Bethlehem,Pennsylvania,42
49,,Albany (NY),,0,49,1,Mens,,,0
50,Saint Louis University,Saint Louis,Plains ,4,50,1,Mens,St. Louis,Missouri,29
51,University of North Carolina at Chapel Hill,North Carolina,Southeast,5,51,1,Mens,Chapel Hill,North Carolina,37
52,Creighton University,Creighton,Plains ,4,52,1,Mens,Omaha,Nebraska,31
53,,Oregon St.,,0,53,1,Mens,,,0
54,,UIC,,0,54,1,Mens,,,0
55,Villanova University,Villanova,Mid East ,2,55,1,Mens,Radnor Township,Pennsylvania,42
56,"University of California, Los Angeles",UCLA,Far West ,8,56,1,Mens,Los Angeles,California,6
57,,Loyola Maryland,,0,57,1,Mens,,,0
58,,California,,0,58,1,Mens,,,0
59,Duke University,Duke,Southeast,5,59,1,Mens,Durham,North Carolina,37
60,University of Vermont,Vermont,New England ,1,60,1,Mens,Burlington,Vermont,50
61,Coastal Carolina University,Coastal Carolina,Southeast,5,61,1,Mens,Conway,South Carolina,45
62,Merrimack College,Merrimack,New England ,1,62,1,Mens,North Andover,Massachusetts,25
63,Marquette University,Marquette,Great Lakes ,3,63,1,Mens,Milwaukee,Wisconsin,55
64,,UNCW,,0,64,1,Mens,,,0
65,University of Rhode Island,Rhode Island,New England ,1,65,1,Mens,Kingston,Rhode Island,44
66,,Georgia St.,,0,66,1,Mens,,,0
67,Florida Gulf Coast University,FGCU,Southeast,5,67,1,Mens,Fort Myers,Florida,12
68,University of Hartford,Hartford,New England ,1,68,1,Mens,West Hartford,Connecticut,9
69,,CSUN,,0,69,1,Mens,,,0
70,University of Dayton,Dayton,Great Lakes ,3,70,1,Mens,Dayton,Ohio,39
71,University of Portland,Portland,Far West ,8,71,1,Mens,Portland,Oregon,41
72,Princeton University,Princeton,Mid East ,2,72,1,Mens,Princeton,New Jersey,34
73,,Fla. Atlantic,,0,73,1,Mens,,,0
74,Xavier University,Xavier,Great Lakes ,3,74,1,Mens,Cincinnati,Ohio,39
75,DePaul University,DePaul,Great Lakes ,3,75,1,Mens,Chicago,Illinois,17
76,,Appalachian St.,,0,76,1,Mens,,,0
77,Northwestern University,Northwestern,Great Lakes ,3,77,1,Mens,Evanston,Illinois,17
78,West Virginia University,West Virginia,Southeast,5,78,1,Mens,Morgantown,West Virginia,54
79,Oral Roberts University,Oral Roberts,Southwest ,6,79,1,Mens,Tulsa,Oklahoma,40
80,,Wright St.,,0,80,1,Mens,,,0
81,,Ohio St.,,0,81,1,Mens,,,0
82,University of South Carolina,South Carolina,Southeast,5,82,1,Mens,Columbia,South Carolina,45
83,Utah Valley University,Utah Valley,Rocky Mountains ,7,83,1,Mens,Orem,Utah,49
84,University of Akron,Akron,Great Lakes ,3,84,1,Mens,Akron,Ohio,39
85,,Sacramento St.,,0,85,1,Mens,,,0
86,Cornell University,Cornell,Mid East ,2,86,1,Mens,Ithaca,New York,36
87,Rutgers University,Rutgers,Mid East ,2,87,1,Mens,New Brunswick,New Jersey,34
88,United States Naval Academy,Navy,Mid East ,2,88,1,Mens,Annapolis,Maryland,24
89,University of Pennsylvania,Penn,Mid East ,2,89,1,Mens,Philadelphia,Pennsylvania,42
90,University of Texas Rio Grande Valley,UTRGV,Southwest ,6,90,1,Mens,Edinburg[A 48],Texas,48
91,Seton Hall University,Seton Hall,Mid East ,2,91,1,Mens,South Orange,New Jersey,34
92,"University of California, Riverside",UC Riverside,Far West ,8,92,1,Mens,Riverside,California,6
93,,SIUE,,0,93,1,Mens,,,0
94,Saint Peter's University,Saint Peter's,Mid East ,2,94,1,Mens,Jersey City,New Jersey,34
95,Bowling Green State University,Bowling Green,Great Lakes ,3,95,1,Mens,Bowling Green,Ohio,39
96,Quinnipiac University,Quinnipiac,New England ,1,96,1,Mens,Hamden,Connecticut,9
97,Mercer University,Mercer,Southeast,5,97,1,Mens,Macon,Georgia,13
98,University of Denver,Denver,Rocky Mountains ,7,98,1,Mens,Denver,Colorado,8
99,University of Massachusetts Lowell,UMass Lowell,New England ,1,99,1,Mens,Lowell,Massachusetts,25
100,Hofstra University,Hofstra,Mid East ,2,100,1,Mens,Hempstead,New York,36
101,California Polytechnic State University,Cal Poly,Far West ,8,101,1,Mens,San Luis Obispo,California,6
102,Stetson University,Stetson,Southeast,5,102,1,Mens,DeLand,Florida,12
103,University of Connecticut,UConn,New England ,1,103,1,Mens,Storrs,Connecticut,9
104,Marist College,Marist,Mid East ,2,104,1,Mens,Poughkeepsie,New York,36
105,,Saint Francis (PA),,0,105,1,Mens,,,0
106,Drake University,Drake,Plains ,4,106,1,Mens,Des Moines,Iowa,19
107,Dartmouth College,Dartmouth,New England ,1,107,1,Mens,Hanover,New Hampshire,33
108,University of the Pacific,Pacific,Far West ,8,108,1,Mens,Stockton,California,6
109,Colgate University,Colgate,Mid East ,2,109,1,Mens,Hamilton,New York,36
110,,LIU,,0,110,1,Mens,,,0
111,University of Tulsa,Tulsa,Southwest ,6,111,1,Mens,Tulsa,Oklahoma,40
112,New Jersey Institute of Technology,NJIT,Mid East ,2,112,1,Mens,Newark,New Jersey,34
113,,Milwaukee,,0,113,1,Mens,,,0
114,,Northern Ill.,,0,114,1,Mens,,,0
115,University of North Florida,North Florida,Southeast,5,115,1,Mens,Jacksonville,Florida,12
116,Fairleigh Dickinson University,Fairleigh Dickinson,Mid East ,2,116,1,Mens,Hackensack,New Jersey,34
117,University of Wisconsin–Madison,Wisconsin,Great Lakes ,3,117,1,Mens,Madison,Wisconsin,55
118,,Cleveland St.,,0,118,1,Mens,,,0
119,La Salle University,La Salle,Mid East ,2,119,1,Mens,Philadelphia,Pennsylvania,42
120,Santa Clara University,Santa Clara,Far West ,8,120,1,Mens,Santa Clara,California,6
121,College of William & Mary,William & Mary,Southeast,5,121,1,Mens,Williamsburg,Virginia,51
122,Furman University,Furman,Southeast,5,122,1,Mens,Greenville,South Carolina,45
123,Fairfield University,Fairfield,New England ,1,123,1,Mens,Fairfield,Connecticut,9
124,Oakland University,Oakland,Great Lakes ,3,124,1,Mens,Rochester,Michigan,26
125,Elon University,Elon,Southeast,5,125,1,Mens,Elon,North Carolina,37
126,Virginia Commonwealth University,VCU,Southeast,5,126,1,Mens,Richmond,Virginia,51
127,,CSU Bakersfield,,0,127,1,Mens,,,0
128,Jacksonville University,Jacksonville,Southeast,5,128,1,Mens,Jacksonville,Florida,12
129,,Ga. Southern,,0,129,1,Mens,,,0
130,,ETSU,,0,130,1,Mens,,,0
131,,St. Francis Brooklyn,,0,131,1,Mens,,,0
132,,Michigan St.,,0,132,1,Mens,,,0
133,University of Cincinnati,Cincinnati,Great Lakes ,3,133,1,Mens,Cincinnati,Ohio,39
134,Rider University,Rider,Mid East ,2,134,1,Mens,Lawrenceville,New Jersey,34
135,Binghamton University,Binghamton,Mid East ,2,135,1,Mens,Vestal,New York,36
136,,UNC Greensboro,,0,136,1,Mens,,,0
137,Gonzaga University,Gonzaga,Far West ,8,137,1,Mens,Spokane,Washington,53
138,Lafayette College,Lafayette,Mid East ,2,138,1,Mens,Easton,Pennsylvania,42
139,,Gardner-Webb,,0,139,1,Mens,,,0
140,,Detroit Mercy,,0,140,1,Mens,,,0
141,"University of Maryland, Baltimore County",UMBC,Mid East ,2,141,1,Mens,Catonsville,Maryland,24
142,Houston Baptist University,Houston Baptist,Southwest ,6,142,1,Mens,Houston,Texas,48
143,,San Diego St.,,0,143,1,Mens,,,0
144,United States Air Force Academy,Air Force,Rocky Mountains ,7,144,1,Mens,Colorado Springs,Colorado,8
145,,Valparaiso,,0,145,1,Mens,,,0
146,,Kansas City,,0,146,1,Mens,,,0
147,Drexel University,Drexel,Mid East ,2,147,1,Mens,Philadelphia,Pennsylvania,42
148,Old Dominion University,Old Dominion,Southeast,5,148,1,Mens,Norfolk,Virginia,51
149,Stony Brook University,Stony Brook,Mid East ,2,149,1,Mens,Stony Brook,New York,36
150,Bryant University,Bryant,New England ,1,150,1,Mens,Smithfield,Rhode Island,44
151,Columbia University,Columbia,Mid East ,2,151,1,Mens,Manhattan,New York,36
152,Northeastern University,Northeastern,New England ,1,152,1,Mens,Boston,Massachusetts,25
153,Manhattan College,Manhattan,Mid East ,2,153,1,Mens,Riverdale,New York,36
154,Fordham University,Fordham,Mid East ,2,154,1,Mens,Bronx,New York,36
155,University of Alabama at Birmingham,UAB,Southeast,5,155,1,Mens,Birmingham,Alabama,1
156,,Massachusetts,,0,156,1,Mens,,,0
157,Bradley University,Bradley,Great Lakes ,3,157,1,Mens,Peoria,Illinois,17
158,Lipscomb University,Lipscomb,Southeast,5,158,1,Mens,Nashville,Tennessee,47
159,Mount St. Mary's University,Mount St. Mary's,Mid East ,2,159,1,Mens,Emmitsburg,Maryland,24
160,Bucknell University,Bucknell,Mid East ,2,160,1,Mens,Lewisburg,Pennsylvania,42
161,Grand Canyon University,Grand Canyon,Southwest ,6,161,1,Mens,Phoenix,Arizona,4
162,,Saint Joseph's,,0,162,1,Mens,,,0
163,,Northern Ky.,,0,163,1,Mens,,,0
164,University of San Francisco,San Francisco,Far West ,8,164,1,Mens,San Francisco,California,6
165,,San Jose St.,,0,165,1,Mens,,,0
166,,USC Upstate,,0,166,1,Mens,,,0
167,Radford University,Radford,Southeast,5,167,1,Mens,Radford,Virginia,51
168,,Green Bay,,0,168,1,Mens,,,0
169,,Omaha,,0,169,1,Mens,,,0
170,Duquesne University,Duquesne,Mid East ,2,170,1,Mens,Pittsburgh,Pennsylvania,42
171,Davidson College,Davidson,Southeast,5,171,1,Mens,Davidson,North Carolina,37
172,University of Delaware,Delaware,Mid East ,2,172,1,Mens,Newark,Delaware,10
173,Niagara University,Niagara,Mid East ,2,173,1,Mens,Lewiston,New York,36
174,"University of Nevada, Las Vegas",UNLV,Far West ,8,174,1,Mens,Paradise,Nevada,32
175,,Army West Point,,0,175,1,Mens,,,0
176,,Boston U.,,0,176,1,Mens,,,0
177,Longwood University,Longwood,Southeast,5,177,1,Mens,Farmville,Virginia,51
178,Presbyterian College,Presbyterian,Southeast,5,178,1,Mens,Clinton,South Carolina,45
179,American University,American,,0,179,1,Mens,Washington,District of Columbia,11
180,Siena College,Siena,Mid East ,2,180,1,Mens,Loudonville,New York,36
181,University of Evansville,Evansville,Great Lakes ,3,181,1,Mens,Evansville,Indiana,18
182,Sacred Heart University,Sacred Heart,New England ,1,182,1,Mens,Fairfield,Connecticut,9
183,Brown University,Brown,New England ,1,183,1,Mens,Providence,Rhode Island,44
184,St. Bonaventure University,St. Bonaventure,Mid East ,2,184,1,Mens,St. Bonaventure,New York,36
185,George Washington University,George Washington,,0,185,1,Mens,Washington,District of Columbia,11
186,,UIW,,0,186,1,Mens,,,0
187,Monmouth University,Monmouth,Mid East ,2,187,1,Mens,West Long Branch,New Jersey,34
188,College of the Holy Cross,Holy Cross,New England ,1,188,1,Mens,Worcester,Massachusetts,25
189,,Western Ill.,,0,189,1,Mens,,,0
190,Harvard University,Harvard,New England ,1,190,1,Mens,Cambridge[A 12],Massachusetts,25
191,,California Baptist,,0,191,1,Mens,,,0
192,Winthrop University,Winthrop,Southeast,5,192,1,Mens,Rock Hill,South Carolina,45
193,,Col. of Charleston,,0,193,1,Mens,,,0
194,,Central Conn. St.,,0,194,1,Mens,,,0
195,Wofford College,Wofford,Southeast,5,195,1,Mens,Spartanburg,South Carolina,45
196,Robert Morris University,Robert Morris,Mid East ,2,196,1,Mens,Moon Township,Pennsylvania,42
197,George Mason University,George Mason,Southeast,5,197,1,Mens,Fairfax,Virginia,51
198,Indiana University – Purdue University Indianapolis,IUPUI,Great Lakes ,3,198,1,Mens,Indianapolis,Indiana,18
199,University of North Carolina at Asheville,UNC Asheville,Southeast,5,199,1,Mens,Asheville,North Carolina,37
200,,Eastern Ill.,,0,200,1,Mens,,,0
201,Belmont University,Belmont,Southeast,5,201,1,Mens,Nashville,Tennessee,47
202,Howard University,Howard,,0,202,1,Mens,Washington,District of Columbia,11
203,Liberty University,Liberty,Southeast,5,203,1,Mens,Lynchburg,Virginia,51
204,Canisius College,Canisius,Mid East ,2,204,1,Mens,Buffalo,New York,36
205,Purdue University Fort Wayne[r],Purdue Fort Wayne,Great Lakes ,3,205,1,Mens,Fort Wayne,Indiana,18
206,Virginia Military Institute,VMI,Southeast,5,206,1,Mens,Lexington,Virginia,51
207,Stanford University,Stanford,Far West ,8,1,1,Women,Palo Alto,California,6
208,University of North Carolina at Chapel Hill,North Carolina,Southeast,5,2,1,Women,Chapel Hill,North Carolina,37
209,,Florida St.,,0,3,1,Women,,,0
210,"University of California, Los Angeles",UCLA,Far West ,8,4,1,Women,Los Angeles,California,6
211,University of South Carolina,South Carolina,Southeast,5,5,1,Women,Columbia,South Carolina,45
212,University of Virginia,Virginia,Southeast,5,6,1,Women,Charlottesville,Virginia,51
213,,Southern California,,0,7,1,Women,,,0
214,Brigham Young University,BYU,Rocky Mountains ,7,8,1,Women,Provo,Utah,49
215,,Washington St.,,0,9,1,Women,,,0
216,University of Arkansas,Arkansas,Southeast,5,10,1,Women,Fayetteville,Arkansas,5
217,University of Kansas,Kansas,Plains ,4,11,1,Women,Lawrence,Kansas,20
218,University of Wisconsin–Madison,Wisconsin,Great Lakes ,3,12,1,Women,Madison,Wisconsin,55
219,Hofstra University,Hofstra,Mid East ,2,13,1,Women,Hempstead,New York,36
220,Brown University,Brown,New England ,1,14,1,Women,Providence,Rhode Island,44
221,North Carolina State University,NC State,Southeast,5,15,1,Women,Raleigh,North Carolina,37
222,,Oklahoma St.,,0,16,1,Women,,,0
223,University of Michigan,Michigan,Great Lakes ,3,17,1,Women,Ann Arbor,Michigan,26
224,Duke University,Duke,Southeast,5,18,1,Women,Durham,North Carolina,37
225,,Penn St.,,0,19,1,Women,,,0
226,,South Fla.,,0,20,1,Women,,,0
227,Rutgers University,Rutgers,Mid East ,2,21,1,Women,New Brunswick,New Jersey,34
228,University of Washington,Washington,Far West ,8,22,1,Women,Seattle,Washington,53
229,Virginia Tech[A 53],Virginia Tech,Southeast,5,23,1,Women,Blacksburg,Virginia,51
230,Santa Clara University,Santa Clara,Far West ,8,24,1,Women,Santa Clara,California,6
231,Texas A&M University,Texas A&M,Southwest ,6,25,1,Women,College Station,Texas,48
232,University of Louisville,Louisville,Southeast,5,26,1,Women,Louisville,Kentucky,21
233,Texas Tech University,Texas Tech,Southwest ,6,27,1,Women,Lubbock,Texas,48
234,University of Florida,Florida,Southeast,5,28,1,Women,Gainesville,Florida,12
235,West Virginia University,West Virginia,Southeast,5,29,1,Women,Morgantown,West Virginia,54
236,University of Notre Dame,Notre Dame,Great Lakes ,3,30,1,Women,South Bend,Indiana,18
237,University of Memphis,Memphis,Southeast,5,31,1,Women,Memphis,Tennessee,47
238,,Fla. Atlantic,,0,32,1,Women,,,0
239,,California,,0,33,1,Women,,,0
240,Vanderbilt University,Vanderbilt,Southeast,5,34,1,Women,Nashville,Tennessee,47
241,University of Arizona,Arizona,Southwest ,6,35,1,Women,Tucson,Arizona,4
242,Monmouth University,Monmouth,Mid East ,2,36,1,Women,West Long Branch,New Jersey,34
243,Clemson University,Clemson,Southeast,5,37,1,Women,Clemson,South Carolina,45
244,Xavier University,Xavier,Great Lakes ,3,38,1,Women,Cincinnati,Ohio,39
245,Yale University,Yale,New England ,1,39,1,Women,New Haven,Connecticut,9
246,University of Colorado Boulder,Colorado,Rocky Mountains ,7,40,1,Women,Boulder,Colorado,8
247,Harvard University,Harvard,New England ,1,41,1,Women,Cambridge[A 12],Massachusetts,25
248,Georgetown University,Georgetown,,0,42,1,Women,Washington,District of Columbia,11
249,Pepperdine University,Pepperdine,Far West ,8,43,1,Women,Malibu,California,6
250,University of Alabama,Alabama,Southeast,5,44,1,Women,Tuscaloosa,Alabama,1
251,Saint Louis University,Saint Louis,Plains ,4,45,1,Women,St. Louis,Missouri,29
252,University of Iowa,Iowa,Plains ,4,46,1,Women,Iowa City,Iowa,19
253,University of North Texas,North Texas,Southwest ,6,47,1,Women,Denton,Texas,48
254,,Milwaukee,,0,48,1,Women,,,0
255,,Oregon St.,,0,49,1,Women,,,0
256,Columbia University,Columbia,Mid East ,2,50,1,Women,Manhattan,New York,36
257,University of Utah,Utah,Rocky Mountains ,7,51,1,Women,Salt Lake City,Utah,49
258,University of Texas at Austin,Texas,Southwest ,6,52,1,Women,Austin,Texas,48
259,University of Tennessee,Tennessee,Southeast,5,53,1,Women,Knoxville,Tennessee,47
260,,Ole Miss,,0,54,1,Women,,,0
261,,Loyola Chicago,,0,55,1,Women,,,0
262,University of Georgia,Georgia,Southeast,5,56,1,Women,Athens,Georgia,13
263,Samford University,Samford,Southeast,5,57,1,Women,Homewood,Alabama,1
264,Furman University,Furman,Southeast,5,58,1,Women,Greenville,South Carolina,45
